Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,LEAF1,Ethernet3,spine,SPINE1,Ethernet3,True
l3leaf,LEAF1,Ethernet4,spine,SPINE2,Ethernet3,True
l3leaf,LEAF1,Ethernet5,spine,SPINE3,Ethernet3,True
l3leaf,LEAF1,Ethernet6,spine,SPINE4,Ethernet3,True
l3leaf,LEAF1,Ethernet7,server,host1,Ethernet1,True
l3leaf,LEAF1,Ethernet47,mlag_peer,LEAF2,Ethernet47,True
l3leaf,LEAF1,Ethernet48,mlag_peer,LEAF2,Ethernet48,True
l3leaf,LEAF2,Ethernet3,spine,SPINE1,Ethernet4,True
l3leaf,LEAF2,Ethernet4,spine,SPINE2,Ethernet4,True
l3leaf,LEAF2,Ethernet5,spine,SPINE3,Ethernet4,True
l3leaf,LEAF2,Ethernet6,spine,SPINE4,Ethernet4,True
l3leaf,LEAF2,Ethernet7,server,host1,Ethernet2,True
l3leaf,LEAF2,Ethernet47,mlag_peer,LEAF1,Ethernet47,True
l3leaf,LEAF2,Ethernet48,mlag_peer,LEAF1,Ethernet48,True
l3leaf,LEAF3,Ethernet3,spine,SPINE1,Ethernet5,True
l3leaf,LEAF3,Ethernet4,spine,SPINE2,Ethernet5,True
l3leaf,LEAF3,Ethernet5,spine,SPINE3,Ethernet5,True
l3leaf,LEAF3,Ethernet6,spine,SPINE4,Ethernet5,True
l3leaf,LEAF3,Ethernet7,server,host2,Ethernet1,True
l3leaf,LEAF3,Ethernet8,server,host3,Ethernet1,True
l3leaf,LEAF3,Ethernet47,mlag_peer,LEAF4,Ethernet47,True
l3leaf,LEAF3,Ethernet48,mlag_peer,LEAF4,Ethernet48,True
l3leaf,LEAF4,Ethernet3,spine,SPINE1,Ethernet6,True
l3leaf,LEAF4,Ethernet4,spine,SPINE2,Ethernet6,True
l3leaf,LEAF4,Ethernet5,spine,SPINE3,Ethernet6,True
l3leaf,LEAF4,Ethernet6,spine,SPINE4,Ethernet6,True
l3leaf,LEAF4,Ethernet7,server,host2,Ethernet2,True
l3leaf,LEAF4,Ethernet8,server,host3,Ethernet2,True
l3leaf,LEAF4,Ethernet47,mlag_peer,LEAF3,Ethernet47,True
l3leaf,LEAF4,Ethernet48,mlag_peer,LEAF3,Ethernet48,True
l3leaf,LEAF5,Ethernet3,spine,SPINE1,Ethernet7,True
l3leaf,LEAF5,Ethernet4,spine,SPINE2,Ethernet7,True
l3leaf,LEAF5,Ethernet5,spine,SPINE3,Ethernet7,True
l3leaf,LEAF5,Ethernet6,spine,SPINE4,Ethernet7,True
l3leaf,LEAF5,Ethernet7,server,host4,Ethernet1,True
l3leaf,LEAF5,Ethernet47,mlag_peer,LEAF6,Ethernet47,True
l3leaf,LEAF5,Ethernet48,mlag_peer,LEAF6,Ethernet48,True
l3leaf,LEAF6,Ethernet3,spine,SPINE1,Ethernet8,True
l3leaf,LEAF6,Ethernet4,spine,SPINE2,Ethernet8,True
l3leaf,LEAF6,Ethernet5,spine,SPINE3,Ethernet8,True
l3leaf,LEAF6,Ethernet6,spine,SPINE4,Ethernet8,True
l3leaf,LEAF6,Ethernet7,server,host4,Ethernet2,True
l3leaf,LEAF6,Ethernet47,mlag_peer,LEAF5,Ethernet47,True
l3leaf,LEAF6,Ethernet48,mlag_peer,LEAF5,Ethernet48,True
spine,SPINE1,Ethernet3,l3leaf,LEAF1,Ethernet3,True
spine,SPINE1,Ethernet4,l3leaf,LEAF2,Ethernet3,True
spine,SPINE1,Ethernet5,l3leaf,LEAF3,Ethernet3,True
spine,SPINE1,Ethernet6,l3leaf,LEAF4,Ethernet3,True
spine,SPINE1,Ethernet7,l3leaf,LEAF5,Ethernet3,True
spine,SPINE1,Ethernet8,l3leaf,LEAF6,Ethernet3,True
spine,SPINE2,Ethernet3,l3leaf,LEAF1,Ethernet4,True
spine,SPINE2,Ethernet4,l3leaf,LEAF2,Ethernet4,True
spine,SPINE2,Ethernet5,l3leaf,LEAF3,Ethernet4,True
spine,SPINE2,Ethernet6,l3leaf,LEAF4,Ethernet4,True
spine,SPINE2,Ethernet7,l3leaf,LEAF5,Ethernet4,True
spine,SPINE2,Ethernet8,l3leaf,LEAF6,Ethernet4,True
spine,SPINE3,Ethernet3,l3leaf,LEAF1,Ethernet5,True
spine,SPINE3,Ethernet4,l3leaf,LEAF2,Ethernet5,True
spine,SPINE3,Ethernet5,l3leaf,LEAF3,Ethernet5,True
spine,SPINE3,Ethernet6,l3leaf,LEAF4,Ethernet5,True
spine,SPINE3,Ethernet7,l3leaf,LEAF5,Ethernet5,True
spine,SPINE3,Ethernet8,l3leaf,LEAF6,Ethernet5,True
spine,SPINE4,Ethernet3,l3leaf,LEAF1,Ethernet6,True
spine,SPINE4,Ethernet4,l3leaf,LEAF2,Ethernet6,True
spine,SPINE4,Ethernet5,l3leaf,LEAF3,Ethernet6,True
spine,SPINE4,Ethernet6,l3leaf,LEAF4,Ethernet6,True
spine,SPINE4,Ethernet7,l3leaf,LEAF5,Ethernet6,True
spine,SPINE4,Ethernet8,l3leaf,LEAF6,Ethernet6,True
